id,places,sentiment
0,Marine Drive,1
1,Marine Drive,1
2,Marine Drive,1
3,Marine Drive,1
4,Marine Drive,1
5,Marine Drive,1
6,Marine Drive,1
7,Marine Drive,1
8,Marine Drive,1
9,Marine Drive,1
10,Marine Drive,1
11,Marine Drive,1
12,Marine Drive,1
13,Marine Drive,1
14,Marine Drive,1
15,Marine Drive,0
16,Marine Drive,1
17,Marine Drive,1
18,Marine Drive,1
19,Marine Drive,1
20,Marine Drive,0
21,Marine Drive,1
22,Marine Drive,1
23,Marine Drive,1
24,Marine Drive,1
25,Marine Drive,1
26,Marine Drive,1
27,Marine Drive,1
28,Marine Drive,1
29,Marine Drive,1
30,Marine Drive,1
31,Marine Drive,1
32,Marine Drive,1
33,Marine Drive,1
34,Marine Drive,1
35,Marine Drive,1
36,Marine Drive,1
37,Marine Drive,1
38,Marine Drive,1
39,Marine Drive,1
40,Marine Drive,1
41,Marine Drive,1
42,Marine Drive,1
43,Marine Drive,1
44,Marine Drive,1
45,Marine Drive,1
46,Marine Drive,1
47,Marine Drive,0
48,Marine Drive,1
49,Marine Drive,1
0,Gateway Of India,0
1,Gateway Of India,1
2,Gateway Of India,1
3,Gateway Of India,1
4,Gateway Of India,1
5,Gateway Of India,1
6,Gateway Of India,1
7,Gateway Of India,1
8,Gateway Of India,1
9,Gateway Of India,1
10,Gateway Of India,1
11,Gateway Of India,1
12,Gateway Of India,1
13,Gateway Of India,1
14,Gateway Of India,1
15,Gateway Of India,1
16,Gateway Of India,1
17,Gateway Of India,0
18,Gateway Of India,0
19,Gateway Of India,1
20,Gateway Of India,1
21,Gateway Of India,1
22,Gateway Of India,1
23,Gateway Of India,1
24,Gateway Of India,1
25,Gateway Of India,1
26,Gateway Of India,1
27,Gateway Of India,1
28,Gateway Of India,1
29,Gateway Of India,1
30,Gateway Of India,1
31,Gateway Of India,1
32,Gateway Of India,1
33,Gateway Of India,0
34,Gateway Of India,0
35,Gateway Of India,1
36,Gateway Of India,1
37,Gateway Of India,1
38,Gateway Of India,1
39,Gateway Of India,1
40,Gateway Of India,1
41,Gateway Of India,1
42,Gateway Of India,1
43,Gateway Of India,1
44,Gateway Of India,1
45,Gateway Of India,1
46,Gateway Of India,0
47,Gateway Of India,1
48,Gateway Of India,1
49,Gateway Of India,1
50,Gateway Of India,1
51,Gateway Of India,1
52,Gateway Of India,1
53,Gateway Of India,1
54,Gateway Of India,1
55,Gateway Of India,1
56,Gateway Of India,1
57,Gateway Of India,1
58,Gateway Of India,1
59,Gateway Of India,1
0,Nariman Point,1
1,Nariman Point,1
2,Nariman Point,1
3,Nariman Point,1
4,Nariman Point,1
5,Nariman Point,1
6,Nariman Point,1
7,Nariman Point,0
8,Nariman Point,1
9,Nariman Point,1
10,Nariman Point,1
11,Nariman Point,1
12,Nariman Point,0
13,Nariman Point,1
14,Nariman Point,1
15,Nariman Point,1
16,Nariman Point,1
17,Nariman Point,0
